customer_binary,user_binary,device,os,browser,weekday,hour,product_views_hour,cart_views_hour,purchase_views_hour,page_views_hour,product_views_journey,cart_views_journey,purchase_views_journey,page_views_journey
MWY5bBVHEEOWUfnTwFnnHQ==,LYyiqr0OdEyg+vMnNSUg+Q==,0.0,1.0,0.0,1,22,1,0,0,1,1,1,1,1
+fFJcQp8sUScovDIJdYErg==,ngUvdQlankWgoV8LFyiRIQ==,18.0,0.0,1.0,1,22,0,1,0,1,1,1,1,1
isw9x3gmOku+edNqJ3vyaQ==,Nc564bstWkqi2p48XHaO0w==,0.0,1.0,0.0,1,22,1,0,0,1,1,1,1,1
0aWCYuNUNESDp2JgJnQ66w==,PLVk72sBBESdXjqo9V1Ieg==,4.0,0.0,1.0,1,22,3,0,0,3,3,3,3,3
0aWCYuNUNESDp2JgJnQ66w==,PLVk72sBBESdXjqo9V1Ieg==,4.0,0.0,1.0,1,22,3,0,0,3,3,3,3,3
0aWCYuNUNESDp2JgJnQ66w==,PLVk72sBBESdXjqo9V1Ieg==,4.0,0.0,1.0,1,22,3,0,0,3,3,3,3,3
z6qHyTx3M0GmcKYDKB8Avg==,mnD3ruqfaE63R+zYcngoKw==,4.0,0.0,1.0,1,22,1,0,0,1,1,1,1,1
bsKc1tAibEmZ+BwwISsw0Q==,sNU0rKvxL0ufKjUXavhL2Q==,6.0,0.0,1.0,1,22,1,0,0,1,1,1,1,1
ZGPn2hAg+E+bm+6pAK3e7g==,z9ZCTi66ikaRFmwykLd4Kw==,1.0,4.0,2.0,1,22,1,0,0,1,1,1,1,1
z6qHyTx3M0GmcKYDKB8Avg==,DUPw3xeGs0CJ9Dufp7MqOQ==,1.0,4.0,2.0,1,22,1,0,0,1,1,1,1,1
hCffFh60EkaWRcJBfxMRkQ==,VmBf+hWxUEKwrTvNqKWlqA==,5.0,0.0,1.0,1,22,1,0,0,1,1,1,1,1
EsCYia3Mx0COa0vjEDU9dA==,QAgT83fU6EeW3fL3YMedQg==,32.0,0.0,1.0,1,22,2,0,0,2,2,2,2,2
EsCYia3Mx0COa0vjEDU9dA==,QAgT83fU6EeW3fL3YMedQg==,32.0,0.0,1.0,1,22,2,0,0,2,2,2,2,2
MWY5bBVHEEOWUfnTwFnnHQ==,E3b03iqmsEq7pp71V3vLVw==,0.0,1.0,0.0,1,22,2,0,0,2,2,2,2,2
MWY5bBVHEEOWUfnTwFnnHQ==,E3b03iqmsEq7pp71V3vLVw==,0.0,1.0,0.0,1,22,2,0,0,2,2,2,2,2
j2Z1d/CPMkuLWpYXL5H6Fg==,qY0hLI676kWUcrpwvViQ7g==,0.0,2.0,0.0,1,22,1,0,0,1,1,1,1,1
giY70S63zEKSA+4fCiC2jQ==,zUoQzIDD9U2KcF3+N8FOtg==,27.0,0.0,1.0,1,22,1,0,0,1,1,1,1,1
00eVKE2/0U6GyaSwxxBq2A==,8eh8zh09Rk2l4D7WncrvNA==,4.0,0.0,1.0,1,22,1,0,0,1,1,1,1,1
z6qHyTx3M0GmcKYDKB8Avg==,FmfkJvaMnE+SBRiplwbubw==,4.0,0.0,1.0,1,22,1,0,0,1,1,1,1,1
z6qHyTx3M0GmcKYDKB8Avg==,PUZ4uTFtZkOdZh1QykFDWQ==,0.0,1.0,0.0,1,22,2,0,0,2,2,2,2,2
z6qHyTx3M0GmcKYDKB8Avg==,PUZ4uTFtZkOdZh1QykFDWQ==,0.0,1.0,0.0,1,22,2,0,0,2,2,2,2,2
giY70S63zEKSA+4fCiC2jQ==,QoTnbEs4KECEJEKBWmPMMw==,11.0,0.0,1.0,1,22,1,0,0,1,1,1,1,1
VCkXEQJxMEaCOzfgHgncSQ==,R8auPUPGqUu38vmoi6ZWHw==,6.0,0.0,1.0,1,22,1,0,0,1,1,1,1,1
Fr9oWfIRPk6Tn0F12240tw==,TfGIkF3bXEiYLwcS1YuPug==,0.0,1.0,0.0,1,22,4,0,0,4,4,4,4,4
Fr9oWfIRPk6Tn0F12240tw==,TfGIkF3bXEiYLwcS1YuPug==,0.0,1.0,0.0,1,22,4,0,0,4,4,4,4,4
Fr9oWfIRPk6Tn0F12240tw==,TfGIkF3bXEiYLwcS1YuPug==,0.0,1.0,0.0,1,22,4,0,0,4,4,4,4,4
Fr9oWfIRPk6Tn0F12240tw==,TfGIkF3bXEiYLwcS1YuPug==,0.0,1.0,0.0,1,22,4,0,0,4,4,4,4,4
VCkXEQJxMEaCOzfgHgncSQ==,bJxvJzo2EUK1jZ3XtkgUOA==,47.0,0.0,1.0,1,22,1,0,0,1,1,1,1,1
MWY5bBVHEEOWUfnTwFnnHQ==,2qi05BOcnUekD7VXR2GXPw==,0.0,1.0,3.0,1,22,1,0,0,1,1,1,1,1
gwlc4zxoJEivY9vtdKLc2A==,BwkDwMh9DkGsy2xXQ/Rnrg==,2.0,0.0,1.0,1,22,1,0,0,1,1,1,1,1
00eVKE2/0U6GyaSwxxBq2A==,Dwh4HRLyH06LvYAEqv2abQ==,20.0,0.0,1.0,1,22,1,0,0,1,1,1,1,1
qR8YbQr2PUmE27VvgFzv3w==,KIV9iW0dVkeqiMohbC+Pmw==,31.0,0.0,1.0,1,22,1,0,0,1,1,1,1,1
MWY5bBVHEEOWUfnTwFnnHQ==,9yQIS+5b6E2VtE/fyeOX4g==,0.0,2.0,0.0,1,22,2,0,0,2,2,2,2,2
MWY5bBVHEEOWUfnTwFnnHQ==,9yQIS+5b6E2VtE/fyeOX4g==,0.0,2.0,0.0,1,22,2,0,0,2,2,2,2,2
Fr9oWfIRPk6Tn0F12240tw==,VlEgb3VlLEuVxUAHLHwZQA==,0.0,3.0,0.0,1,22,0,0,1,1,1,1,1,1
wpaU0jdh90qQONu144iIig==,jcGibvHpYkC4i+U7aPnMew==,0.0,2.0,0.0,1,22,1,0,0,1,1,1,1,1
z6qHyTx3M0GmcKYDKB8Avg==,MBfg85ipI0i8N5lWvzMY4Q==,0.0,1.0,0.0,1,22,1,0,0,1,1,1,1,1
MWY5bBVHEEOWUfnTwFnnHQ==,P9l0/QgTqEuwphkYiT5A1g==,0.0,1.0,0.0,1,22,2,0,0,2,2,2,2,2
MWY5bBVHEEOWUfnTwFnnHQ==,P9l0/QgTqEuwphkYiT5A1g==,0.0,1.0,0.0,1,22,2,0,0,2,2,2,2,2
ZGPn2hAg+E+bm+6pAK3e7g==,XjTHmIZ0i0qreUqfy3Sstg==,1.0,4.0,2.0,1,22,1,0,0,1,1,1,1,1
Qf8ONyqk1UiN6+JXj7yudQ==,kOKbKkviJkmr/q3np9WhgQ==,6.0,0.0,1.0,1,22,2,0,0,2,2,2,2,2
Qf8ONyqk1UiN6+JXj7yudQ==,kOKbKkviJkmr/q3np9WhgQ==,6.0,0.0,1.0,1,22,2,0,0,2,2,2,2,2
gwlc4zxoJEivY9vtdKLc2A==,xQmnsiXUxkiifXNDt8TPyw==,0.0,2.0,0.0,1,22,1,0,0,1,1,1,1,1
3a1+o8O8UUuye6u4ZjcoaQ==,9lsRqIf8gUOdzINSa4H1YQ==,0.0,1.0,0.0,1,22,41,20,0,61,61,61,61,61
3a1+o8O8UUuye6u4ZjcoaQ==,9lsRqIf8gUOdzINSa4H1YQ==,0.0,1.0,0.0,1,22,41,20,0,61,61,61,61,61
3a1+o8O8UUuye6u4ZjcoaQ==,9lsRqIf8gUOdzINSa4H1YQ==,0.0,1.0,0.0,1,22,41,20,0,61,61,61,61,61
3a1+o8O8UUuye6u4ZjcoaQ==,9lsRqIf8gUOdzINSa4H1YQ==,0.0,1.0,0.0,1,22,41,20,0,61,61,61,61,61
3a1+o8O8UUuye6u4ZjcoaQ==,9lsRqIf8gUOdzINSa4H1YQ==,0.0,1.0,0.0,1,22,41,20,0,61,61,61,61,61
3a1+o8O8UUuye6u4ZjcoaQ==,9lsRqIf8gUOdzINSa4H1YQ==,0.0,1.0,0.0,1,22,41,20,0,61,61,61,61,61
3a1+o8O8UUuye6u4ZjcoaQ==,9lsRqIf8gUOdzINSa4H1YQ==,0.0,1.0,0.0,1,22,41,20,0,61,61,61,61,61
3a1+o8O8UUuye6u4ZjcoaQ==,9lsRqIf8gUOdzINSa4H1YQ==,0.0,1.0,0.0,1,22,41,20,0,61,61,61,61,61
3a1+o8O8UUuye6u4ZjcoaQ==,9lsRqIf8gUOdzINSa4H1YQ==,0.0,1.0,0.0,1,22,41,20,0,61,61,61,61,61
3a1+o8O8UUuye6u4ZjcoaQ==,9lsRqIf8gUOdzINSa4H1YQ==,0.0,1.0,0.0,1,22,41,20,0,61,61,61,61,61
3a1+o8O8UUuye6u4ZjcoaQ==,9lsRqIf8gUOdzINSa4H1YQ==,0.0,1.0,0.0,1,22,41,20,0,61,61,61,61,61
3a1+o8O8UUuye6u4ZjcoaQ==,9lsRqIf8gUOdzINSa4H1YQ==,0.0,1.0,0.0,1,22,41,20,0,61,61,61,61,61
3a1+o8O8UUuye6u4ZjcoaQ==,9lsRqIf8gUOdzINSa4H1YQ==,0.0,1.0,0.0,1,22,41,20,0,61,61,61,61,61
3a1+o8O8UUuye6u4ZjcoaQ==,9lsRqIf8gUOdzINSa4H1YQ==,0.0,1.0,0.0,1,22,41,20,0,61,61,61,61,61
3a1+o8O8UUuye6u4ZjcoaQ==,9lsRqIf8gUOdzINSa4H1YQ==,0.0,1.0,0.0,1,22,41,20,0,61,61,61,61,61
3a1+o8O8UUuye6u4ZjcoaQ==,9lsRqIf8gUOdzINSa4H1YQ==,0.0,1.0,0.0,1,22,41,20,0,61,61,61,61,61
3a1+o8O8UUuye6u4ZjcoaQ==,9lsRqIf8gUOdzINSa4H1YQ==,0.0,1.0,0.0,1,22,41,20,0,61,61,61,61,61
3a1+o8O8UUuye6u4ZjcoaQ==,9lsRqIf8gUOdzINSa4H1YQ==,0.0,1.0,0.0,1,22,41,20,0,61,61,61,61,61
3a1+o8O8UUuye6u4ZjcoaQ==,9lsRqIf8gUOdzINSa4H1YQ==,0.0,1.0,0.0,1,22,41,20,0,61,61,61,61,61
3a1+o8O8UUuye6u4ZjcoaQ==,9lsRqIf8gUOdzINSa4H1YQ==,0.0,1.0,0.0,1,22,41,20,0,61,61,61,61,61
3a1+o8O8UUuye6u4ZjcoaQ==,9lsRqIf8gUOdzINSa4H1YQ==,0.0,1.0,0.0,1,22,41,20,0,61,61,61,61,61
3a1+o8O8UUuye6u4ZjcoaQ==,9lsRqIf8gUOdzINSa4H1YQ==,0.0,1.0,0.0,1,22,41,20,0,61,61,61,61,61
3a1+o8O8UUuye6u4ZjcoaQ==,9lsRqIf8gUOdzINSa4H1YQ==,0.0,1.0,0.0,1,22,41,20,0,61,61,61,61,61
3a1+o8O8UUuye6u4ZjcoaQ==,9lsRqIf8gUOdzINSa4H1YQ==,0.0,1.0,0.0,1,22,41,20,0,61,61,61,61,61
3a1+o8O8UUuye6u4ZjcoaQ==,9lsRqIf8gUOdzINSa4H1YQ==,0.0,1.0,0.0,1,22,41,20,0,61,61,61,61,61
3a1+o8O8UUuye6u4ZjcoaQ==,9lsRqIf8gUOdzINSa4H1YQ==,0.0,1.0,0.0,1,22,41,20,0,61,61,61,61,61
3a1+o8O8UUuye6u4ZjcoaQ==,9lsRqIf8gUOdzINSa4H1YQ==,0.0,1.0,0.0,1,22,41,20,0,61,61,61,61,61
3a1+o8O8UUuye6u4ZjcoaQ==,9lsRqIf8gUOdzINSa4H1YQ==,0.0,1.0,0.0,1,22,41,20,0,61,61,61,61,61
3a1+o8O8UUuye6u4ZjcoaQ==,9lsRqIf8gUOdzINSa4H1YQ==,0.0,1.0,0.0,1,22,41,20,0,61,61,61,61,61
3a1+o8O8UUuye6u4ZjcoaQ==,9lsRqIf8gUOdzINSa4H1YQ==,0.0,1.0,0.0,1,22,41,20,0,61,61,61,61,61
3a1+o8O8UUuye6u4ZjcoaQ==,9lsRqIf8gUOdzINSa4H1YQ==,0.0,1.0,0.0,1,22,41,20,0,61,61,61,61,61
3a1+o8O8UUuye6u4ZjcoaQ==,9lsRqIf8gUOdzINSa4H1YQ==,0.0,1.0,0.0,1,22,41,20,0,61,61,61,61,61
3a1+o8O8UUuye6u4ZjcoaQ==,9lsRqIf8gUOdzINSa4H1YQ==,0.0,1.0,0.0,1,22,41,20,0,61,61,61,61,61
3a1+o8O8UUuye6u4ZjcoaQ==,9lsRqIf8gUOdzINSa4H1YQ==,0.0,1.0,0.0,1,22,41,20,0,61,61,61,61,61
3a1+o8O8UUuye6u4ZjcoaQ==,9lsRqIf8gUOdzINSa4H1YQ==,0.0,1.0,0.0,1,22,41,20,0,61,61,61,61,61
3a1+o8O8UUuye6u4ZjcoaQ==,9lsRqIf8gUOdzINSa4H1YQ==,0.0,1.0,0.0,1,22,41,20,0,61,61,61,61,61
3a1+o8O8UUuye6u4ZjcoaQ==,9lsRqIf8gUOdzINSa4H1YQ==,0.0,1.0,0.0,1,22,41,20,0,61,61,61,61,61
3a1+o8O8UUuye6u4ZjcoaQ==,9lsRqIf8gUOdzINSa4H1YQ==,0.0,1.0,0.0,1,22,41,20,0,61,61,61,61,61
